month,genre1,genre2,genre3,genre4,genre5
6,Action,Comedy,SF,#N/A,#N/A
6,Horror,Mystery,Thriller,#N/A,#N/A
6,Crime,Thriller,#N/A,#N/A,#N/A
7,Action,Adventure,SF,Thriller,#N/A
7,Drama,Crime,#N/A,#N/A,#N/A
7,Action,Thriller,#N/A,#N/A,#N/A
7,Fantasy,Melodrama/Romance,Thriller,#N/A,#N/A
7,Thriller,Drama,#N/A,#N/A,#N/A
7,Horror,Thriller,#N/A,#N/A,#N/A
7,Adventure,Fantasy,Mystery,#N/A,#N/A
7,Action,#N/A,#N/A,#N/A,#N/A
7,War,Drama,#N/A,#N/A,#N/A
7,Horror,Mystery,#N/A,#N/A,#N/A
7,Action,Adventure,#N/A,#N/A,#N/A
7,Crime,Action,Drama,#N/A,#N/A
7,Action,Crime,Thriller,#N/A,#N/A
7,Drama,Adventure,#N/A,#N/A,#N/A
7,Mystery,Horror,#N/A,#N/A,#N/A
7,Horror,#N/A,#N/A,#N/A,#N/A
7,Thriller,Drama,#N/A,#N/A,#N/A
7,Crime,Action,Thriller,#N/A,#N/A
7,Action,Comedy,Crime,#N/A,#N/A
7,Action,SF,Adventure,#N/A,#N/A
7,Drama,Comedy,Action,#N/A,#N/A
7,SF,Action,#N/A,#N/A,#N/A
7,Action,Adventure,#N/A,#N/A,#N/A
7,Action,Drama,#N/A,#N/A,#N/A
7,Action,#N/A,#N/A,#N/A,#N/A
7,Action,Drama,SF,Thriller,#N/A
7,Crime,Action,#N/A,#N/A,#N/A
7,Action,Adventure,SF,#N/A,#N/A
7,Horror,Thriller,#N/A,#N/A,#N/A
7,Horror,#N/A,#N/A,#N/A,#N/A
7,Crime,Drama,#N/A,#N/A,#N/A
7,Action,Drama,#N/A,#N/A,#N/A
7,Action,Adventure,Thriller,#N/A,#N/A
7,Action,Adventure,SF,Thriller,#N/A
7,Fantasy,Horror,#N/A,#N/A,#N/A
7,Horror,#N/A,#N/A,#N/A,#N/A
7,SF,Action,Comedy,#N/A,#N/A
7,Action,Thriller,#N/A,#N/A,#N/A
7,War,Drama,#N/A,#N/A,#N/A
7,Crime,Action,#N/A,#N/A,#N/A
7,Action,Thriller,#N/A,#N/A,#N/A
7,Comedy,Adventure,#N/A,#N/A,#N/A
7,Drama,Thriller,#N/A,#N/A,#N/A
7,Action,Adventure,SF,#N/A,#N/A
7,Action,Drama,#N/A,#N/A,#N/A
7,Action,Drama,Thriller,War,#N/A
7,Horror,Thriller,#N/A,#N/A,#N/A
7,Melodrama/Romance,Drama,#N/A,#N/A,#N/A
7,Action,Adventure,Thriller,#N/A,#N/A
7,Action,Adventure,SF,#N/A,#N/A
7,Action,Crime,Drama,#N/A,#N/A
7,SF,Action,#N/A,#N/A,#N/A
7,Drama,#N/A,#N/A,#N/A,#N/A
7,Action,Comedy,#N/A,#N/A,#N/A
7,Action,Adventure,Comedy,SF,#N/A
7,Mystery,Action,Fantasy,Horror,#N/A
7,Drama,#N/A,#N/A,#N/A,#N/A
7,Comedy,#N/A,#N/A,#N/A,#N/A
8,Action,Crime,Drama,#N/A,#N/A
8,Crime,Thriller,#N/A,#N/A,#N/A
8,Fantasy,Action,Adventure,Family,#N/A
8,Drama,Melodrama/Romance,#N/A,#N/A,#N/A
8,Action,Horror,Thriller,#N/A,#N/A
8,Action,Adventure,Thriller,War,#N/A
8,SF,Thriller,Action,Adventure,#N/A
8,Horror,#N/A,#N/A,#N/A,#N/A
